Company,Industry,Age,Rating,Reviews,Salary,Location,Highly Rated,Critically Rated
IGT Solutions,IT Services & Consulting,26,3.3,2.5,11.9k,Gurugram,Promotions / Appraisal,Promotions / Appraisal
CMS IT Services,IT Services & Consulting,10,3.1,2.5,10.3k,Bangalore,Promotions / Appraisal,Promotions / Appraisal
State Street Corporation,Financial Services,232,3.8,2.4,26k,Boston,Job Security,Promotions / Appraisal
RSPL Group,FMCG,36,4.2,2.4,8.7k,Kanpur,Job Security,
TVS Credit,NBFC,16,4.4,2.4,6.6k,Chennai,Company Culture,
Sahrudaya Healthcare Medicover Hospitals,Healthcare,13,4.7,2.4,2.9k,Secunderabad,Skill Development / Learning,
Aditya Birla Sun Life Insurance,Insurance,24,4.1,2.4,8.4k,Mumbai,Company Culture,
Alstom Transportation,Engineering & Construction,96,3.8,2.4,12.8k,Ouen,Job Security,Promotions / Appraisal
Reliance SMSL,BPO,17,4.0,2.4,5.7k,Mumbai,Skill Development / Learning,Promotions / Appraisal
ArcelorMittal Nippon Steel,Iron & Steel,,4.1,2.4,10k,Surat,Job Security,
Tata AIG,Insurance,24,4.1,2.4,10.6k,Mumbai,Job Security,Promotions / Appraisal
ACC,Building Material,88,3.9,2.4,9.8k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
IDFC FIRST Bharat,NBFC,8,4.5,2.4,4.4k,Tiruchirappalli,Salary & Benefits,
PepsiCo,Food Processing,59,4.1,2.4,10.9k,Harrison,Company Culture,
Titan Company,Retail,40,4.4,2.4,8.5k,Bangalore,Company Culture,
UPL,Agro Chemicals,55,4.2,2.4,10.7k,Mumbai,Job Security,
S P Global,Analytics & KPO,164,4.2,2.4,18.1k,City,Company Culture,Promotions / Appraisal
Shoppers Stop,Retail,33,4.1,2.4,7.2k,Mumbai,Job Security,
Torrent Pharmaceuticals,Pharma,53,3.9,2.3,10.1k,Ahmedabad,Job Security,Promotions / Appraisal
Kyndryl,IT Services & Consulting,2,4.0,2.3,20.4k,City,Work Life Balance,Promotions / Appraisal
Tata Technologies,Engineering & Construction,35,3.7,2.3,20.7k,Singapore,Job Security,Promotions / Appraisal
Grasim Industries,Building Material,77,4.0,2.3,10.2k,Nagda,Job Security,
Zensar Technologies,IT Services & Consulting,23,3.7,2.3,26.2k,Pune,Work Life Balance,Promotions / Appraisal
Tata Capital,NBFC,17,4.1,2.3,9.2k,Mumbai,Job Security,
Mankind Pharma,,29,3.9,2.3,8.4k,Delhi,Salary & Benefits,
Motilal Oswal Financial Services,Financial Services,37,3.8,2.3,10.1k,Mumbai,Skill Development / Learning,Promotions / Appraisal
Afcons Infrastructure,Engineering & Construction,65,4.3,2.3,7.9k,Mumbai,Job Security,
Dilip Buildcon,Engineering & Construction,37,4.0,2.3,8k,Bhopal,Skill Development / Learning,
Walmart,Retail,15,3.9,2.3,18.2k,Bengaluru,Salary & Benefits,Promotions / Appraisal
Flex,Logistics,55,4.0,2.3,17k,Austin,Company Culture,Promotions / Appraisal
UNO Minda,Auto Components,66,4.0,2.3,9.3k,Gurgaon,Job Security,
Bajaj Allianz General Insurance,Insurance,,3.9,2.3,9k,Pune,Skill Development / Learning,
Statestreet HCL Services,BPO,12,3.3,2.3,16.8k,Delhi,Promotions / Appraisal,Promotions / Appraisal
Tech Mahindra Business Services,,21,3.4,2.3,11.4k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Croma,Retail,18,4.0,2.3,7.4k,Mumbai,Job Security,Promotions / Appraisal
GATI KWE,Logistics,12,4.0,2.3,5.6k,Secunderabad,Skill Development / Learning,Promotions / Appraisal
ElasticRun,Logistics,8,3.5,2.2,6.1k,Pune,Job Security,Job Security
Capita,IT Services & Consulting,19,3.6,2.2,14k,Indore,Promotions / Appraisal,Promotions / Appraisal
HDFC Sales,Financial Services,20,4.0,2.2,7.8k,Mumbai,Skill Development / Learning,Promotions / Appraisal
I Process Services,,19,3.9,2.2,5.3k,Mumbai,Company Culture,Promotions / Appraisal
Nokia,Telecom,159,4.2,2.2,15.3k,Espoo,Work Life Balance,
Societe Generale Global Solution Centre,IT Services & Consulting,24,3.9,2.2,20.8k,Paris,Job Security,Promotions / Appraisal
Apollo Tyres,Auto Components,52,4.1,2.2,9.3k,Gurugram,Skill Development / Learning,Promotions / Appraisal
Sammaan Capital Limited,NBFC,19,3.8,2.2,8.1k,Gurugram,Promotions / Appraisal,Promotions / Appraisal
Landmark Group,Retail,51,4.0,2.2,9.1k,Marina,Job Security,Promotions / Appraisal
Nestle,FMCG,65,4.0,2.2,9.4k,Vevey,Salary & Benefits,Promotions / Appraisal
Domino s Pizza,,64,4.0,2.1,4.4k,Ypsilanti,Skill Development / Learning,
BlackBuck,Internet,9,3.8,2.1,6.5k,Bangalore,Job Security,Job Security
Quest Global,IT Services & Consulting,27,3.6,2.1,18.7k,Singapore,Promotions / Appraisal,Promotions / Appraisal
Blue Dart Express,Logistics,41,4.1,2.1,6.2k,Mumbai,Job Security,Promotions / Appraisal
Max Healthcare,Healthcare,23,4.1,2.1,8.7k,NCR,Skill Development / Learning,
AGS Health,Analytics & KPO,13,4.0,2.1,10.3k,DC,Job Security,
Suzlon Group,Power,29,4.1,2.1,7.4k,Pune,Skill Development / Learning,Promotions / Appraisal
Bajaj Electricals,Consumer Electronics & Appliances,86,4.0,2.1,7.9k,Mumbai,Salary & Benefits,Promotions / Appraisal
KocharTech,IT Services & Consulting,29,4.0,2.1,3.8k,Gurugram,Skill Development / Learning,
Fiserv,FinTech,40,3.4,2.1,19k,Brookfield,Promotions / Appraisal,Promotions / Appraisal
IKS Health,BPO,17,3.5,2.1,9.9k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Axis Direct,Financial Services,13,3.9,2.1,5.6k,Mateo,Promotions / Appraisal,Promotions / Appraisal
Sterlite Technologies,Hardware & Networking,36,3.8,2.1,10.8k,Pune,Promotions / Appraisal,Promotions / Appraisal
G4S,Law Enforcement & Security,28,4.0,2.1,4.9k,Gurugram,Work Life Balance,Promotions / Appraisal
Capgemini Engineering,,,3.5,2.1,18.5k,Gurugram,Promotions / Appraisal,Promotions / Appraisal
McDonald s,,69,4.2,2.1,4.8k,Chicago,Skill Development / Learning,
Zomato,Internet,16,3.7,2.1,12.9k,Gurgaon,Promotions / Appraisal,Promotions / Appraisal
Britannia,FMCG,132,4.1,2.1,7.3k,Bengaluru,Job Security,
Micro Labs,Pharma,51,3.7,2.1,9.3k,Bengaluru,Salary & Benefits,Salary & Benefits
XpressBees,,9,3.7,2,7.4k,Pune,Promotions / Appraisal,Promotions / Appraisal
Huawei Technologies,Telecom,22,4.0,2,10.3k,Gurugram,Salary & Benefits,Job Security
Shree Cement,Building Material,45,3.9,2,9.1k,Kolkata,Promotions / Appraisal,Promotions / Appraisal
Exide Industries,Auto Components,77,3.5,2,7.8k,Kolkata,Promotions / Appraisal,Promotions / Appraisal
KPMG Global Services,Management Consulting,,3.6,2,19.3k,Bengaluru,Job Security,Promotions / Appraisal
Patanjali Ayurved,FMCG,18,4.0,2,6.4k,Haridwar,Work Life Balance,Promotions / Appraisal
PhonePe,FinTech,9,4.0,2,9.9k,Bangalore,Salary & Benefits,
TVS Supply Chain Solutions,,128,3.9,2,8.2k,Chennai,Promotions / Appraisal,Promotions / Appraisal
Voltas,Consumer Electronics & Appliances,70,4.0,2,8.1k,Mumbai,Job Security,Promotions / Appraisal
KFintech,,7,3.6,2,10.2k,Hyderabad,Job Security,Promotions / Appraisal
Mahindra Logistics,Logistics,24,4.0,2,8.5k,Mumbai,Skill Development / Learning,Promotions / Appraisal
Fortis Healthcare,Healthcare,28,4.1,2,7.2k,Gurugram,Skill Development / Learning,
Yazaki,Auto Components,83,3.8,2,7.9k,Tokyo,Promotions / Appraisal,Promotions / Appraisal
Fujitsu,IT Services & Consulting,89,3.8,2,16.1k,Bengaluru,Work Life Balance,Promotions / Appraisal
DS Group,FMCG,95,4.1,2,6.2k,Noida,Work Life Balance,Promotions / Appraisal
