Company,Industry,Age,Rating,Reviews,Salary,Location,Highly Rated,Critically Rated
Hinduja Global Solutions,BPO,24,3.9,6.7,23.9k,Bengaluru,Job Security,Promotions / Appraisal
Shriram Finance,NBFC,45,4.1,6.7,14.3k,Mumbai,Job Security,
Quess,BPO,17,3.9,6.7,27.8k,Bangalore,Work Life Balance,Promotions / Appraisal
EXL Service,Analytics & KPO,25,3.8,6.6,39.7k,City,Job Security,Promotions / Appraisal
Cipla,Pharma,89,4.1,6.5,24.5k,Mumbai,Skill Development / Learning,
UltraTech Cement,Building Material,41,4.2,6.5,21.4k,Mumbai,Job Security,
NTT DATA,IT Services & Consulting,11,4.0,6.4,52.9k,City,Job Security,Promotions / Appraisal
Dr Reddy s,Pharma,40,4.1,6.4,24.3k,Secunderabad,Skill Development / Learning,
Sutherland Global Services,IT Services & Consulting,38,3.7,6.4,29.6k,Chennai,Promotions / Appraisal,Promotions / Appraisal
Tata Steel,Iron & Steel,117,4.2,6.3,28.6k,Mumbai,Job Security,
Bajaj Finance,NBFC,37,4.0,6.2,20.8k,Pune,Salary & Benefits,
ICICI Prudential Life Insurance,Insurance,24,4.1,5.9,22.4k,Mumbai,Job Security,
Wells Fargo,Financial Services,172,3.9,5.9,51.1k,Francisco,Work Life Balance,Promotions / Appraisal
Jana Small Finance Bank,Banking,18,3.8,5.8,15k,Bengaluru,,
Amazon Development Centre India,Internet,,4.1,5.8,31.4k,Secunderabad,Company Culture,Promotions / Appraisal
Lupin,Pharma,56,4.2,5.7,22.5k,Mumbai,Skill Development / Learning,
Zydus Lifesciences,Pharma,72,4.2,5.7,18.7k,Ahmedabad,Salary & Benefits,
Delhivery,Logistics,13,3.9,5.7,19.1k,Delhi,Skill Development / Learning,Promotions / Appraisal
L T Construction,Engineering & Construction,80,4.0,5.7,19.1k,Chennai,Job Security,Work Life Balance
JPMorgan Chase Co,Financial Services,56,4.1,5.6,73.7k,York,Job Security,
Muthoot Fincorp,NBFC,137,4.5,5.5,8k,Thiruvananthapuram,Skill Development / Learning,
Sun Pharmaceutical Industries,Pharma,41,4.1,5.5,22k,Mumbai,Job Security,
Hexaware Technologies,IT Services & Consulting,34,3.6,5.4,48.8k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
HCL Group,IT Services & Consulting,48,3.7,5.3,56.9k,Chennai,Job Security,Promotions / Appraisal
JSW Steel,Iron & Steel,42,4.0,5.3,26.5k,Mumbai,Job Security,Promotions / Appraisal
ITC,FMCG,114,4.0,5.3,22.6k,Kolkata,Job Security,Promotions / Appraisal
FIS,FinTech,56,3.9,5.3,39.9k,Jacksonville,Work Life Balance,Promotions / Appraisal
Indian Army,Defence & Aerospace,129,4.7,5.3,9.7k,Delhi,Job Security,
Hindustan Unilever,FMCG,152,4.2,5.2,20.3k,London,Skill Development / Learning,
IIFL Finance,NBFC,29,4.0,5.1,15.2k,Mumbai,Work Life Balance,
KPMG India,Management Consulting,37,3.5,5,54.6k,Bengaluru,Work Life Balance,Work Life Balance
Max Life Insurance,Insurance,24,4.1,5,18.2k,Gurugram,Skill Development / Learning,
Ujjivan Small Finance Bank,Banking,7,4.1,5,12k,Bengaluru,Company Culture,
Udaan,Internet,8,4.0,5,17.5k,Bangalore,Salary & Benefits,Job Security
Oracle,Emerging Technologies,47,3.7,4.9,59.4k,Austin,Work Life Balance,Promotions / Appraisal
Tata Projects,Engineering & Construction,45,4.3,4.8,20k,Mumbai,Job Security,
Muthoot Finance,NBFC,85,3.6,4.7,12.1k,Cochin,Promotions / Appraisal,Promotions / Appraisal
Ekart Logistics,,15,4.0,4.7,13.1k,Francisco,Skill Development / Learning,Promotions / Appraisal
Megha Engineering Infrastructures,Engineering & Construction,35,4.0,4.7,16.4k,Secunderabad,Job Security,Promotions / Appraisal
eClerx,IT Services & Consulting,24,3.4,4.6,28.3k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Omega Healthcare,BPO,21,3.8,4.6,22.1k,Raton,Promotions / Appraisal,Promotions / Appraisal
Aurobindo Pharma,Pharma,38,4.0,4.5,21.7k,Secunderabad,Job Security,
JLL,Real Estate,25,4.2,4.5,20.7k,Mumbai,Job Security,
Shapoorji Pallonji Group,Engineering & Construction,159,4.2,4.5,15.2k,Mumbai,Job Security,
Bajaj Allianz Life Insurance,Insurance,23,4.0,4.5,15.5k,Pune,Salary & Benefits,
Siemens,Industrial Automation,177,4.1,4.4,31.3k,Munich,Job Security,Promotions / Appraisal
Coforge,IT Services & Consulting,32,3.4,4.4,40.6k,Noida,Promotions / Appraisal,Promotions / Appraisal
Virtusa Consulting Services,IT Services & Consulting,28,3.8,4.4,53.7k,Southborough,Promotions / Appraisal,Promotions / Appraisal
Indiamart Intermesh,Internet,28,3.5,4.3,19k,Noida,Promotions / Appraisal,Promotions / Appraisal
Ashok Leyland,Automobile,76,4.1,4.3,18.1k,Chennai,Skill Development / Learning,Promotions / Appraisal
Apollo Hospitals,Healthcare,41,4.1,4.3,15.7k,Chennai,Job Security,
L T Technology Services,IT Services & Consulting,12,3.4,4.3,38.1k,Baroda,Promotions / Appraisal,Promotions / Appraisal
First Source,BPO,23,3.7,4.3,21.6k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Standard Chartered,Banking,171,3.8,4.3,40.3k,London,Job Security,Promotions / Appraisal
DMart,Retail,22,3.9,4.2,15.3k,Mumbai,Job Security,Promotions / Appraisal
JustDial,Internet,28,3.5,4.2,15.3k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
BigBasket,Internet,13,4.0,4.2,16.9k,Bangalore,Job Security,Promotions / Appraisal
ICICI Lombard General Insurance Company,Insurance,23,3.7,4.2,18.6k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Vivo,Consumer Electronics & Appliances,15,4.1,4.2,13.3k,Gurugram,Skill Development / Learning,Promotions / Appraisal
Hero MotoCorp,Automobile,40,4.2,4.2,14.8k,Gurugram,Work Life Balance,
Cyient,IT Services & Consulting,33,3.7,4.2,26.6k,Secunderabad,Promotions / Appraisal,Promotions / Appraisal
Home Credit Finance,NBFC,12,4.1,4.2,10.5k,Gurugram,Company Culture,Promotions / Appraisal
CGI Group,IT Services & Consulting,48,4.1,4.2,43.8k,Montreal,Job Security,Promotions / Appraisal
Mahindra Finance,NBFC,33,4.1,4.2,11.3k,Mumbai,Company Culture,
GlobalLogic,IT Services & Consulting,24,3.7,4.2,35.8k,Jose,Work Life Balance,Promotions / Appraisal
Cholamandalam Investment Finance,Financial Services,46,4.0,4,11.5k,Chennai,Salary & Benefits,
Equitas Small Finance Bank,Banking,17,4.3,4,11.9k,Chennai,Job Security,
UST,IT Services & Consulting,23,3.9,4,36.4k,Viejo,Work Life Balance,Promotions / Appraisal
Bosch Global Software Technologies,Software Product,27,4.0,4,36.5k,Gerlingen,Job Security,Promotions / Appraisal
OPPO,Consumer Electronics & Appliances,20,4.0,4,12.4k,Dongguan,Skill Development / Learning,Promotions / Appraisal
Nagarro,IT Services & Consulting,28,4.0,3.9,27.9k,Munich,Work Life Balance,
Manappuram Finance,NBFC,75,4.0,3.9,7.8k,Trichur,Skill Development / Learning,
SMFG India Credit,NBFC,17,4.1,3.9,10.6k,Mumbai,Salary & Benefits,
TVS Motor,Automobile,45,4.0,3.9,14.6k,Chennai,Skill Development / Learning,
SBI Cards Payment Services,Financial Services,26,3.7,3.9,16.1k,Gurugram,Promotions / Appraisal,Promotions / Appraisal
IQVIA,Clinical Research,42,4.0,3.8,28.2k,Durham,Job Security,Promotions / Appraisal
Kalpataru Projects International,Engineering & Construction,43,4.2,3.8,12.5k,Mumbai,Job Security,
Atos Syntel,IT Services & Consulting,44,3.6,3.8,34.2k,Troy,Promotions / Appraisal,Promotions / Appraisal
Optum,,47,4.0,3.8,30.1k,Prairie,Job Security,Promotions / Appraisal
Swiggy,Internet,10,3.8,3.8,20.7k,Bangalore,Job Security,Job Security
BNY,Financial Services,240,4.0,3.8,29.2k,City,Company Culture,Promotions / Appraisal
Amdocs,Software Product,42,3.9,3.7,36.2k,Chesterfield,Company Culture,Promotions / Appraisal
Hewlett Packard Enterprise,IT Services & Consulting,9,4.2,3.7,27.5k,Houston,Company Culture,Promotions / Appraisal
State Bank of India,Banking,218,3.8,3.7,11.2k,Mumbai,Job Security,Work Life Balance
Bosch,Auto Components,138,4.2,3.7,20.4k,Gerlingen,Company Culture,
CBRE,Real Estate,118,4.2,3.6,16.7k,Angeles,Skill Development / Learning,
Hyundai Motor India Limited,Automobile,57,4.4,3.6,13.7k,Seoul,Job Security,
Dell,Consumer Electronics & Appliances,40,4.1,3.6,27.7k,Rock,Work Life Balance,Promotions / Appraisal
SBI Life Insurance Company,Insurance,23,3.8,3.6,11.1k,Mumbai,Job Security,Promotions / Appraisal
JBM Group,Auto Components,41,4.0,3.6,13.5k,Gurugram,Job Security,
Persistent Systems,IT Services & Consulting,34,3.6,3.6,37.6k,Pune,Promotions / Appraisal,Promotions / Appraisal
Schneider Electric,Industrial Automation,25,4.2,3.5,21.4k,Paris,Company Culture,
Ecom Express,Logistics,12,3.9,3.5,9.1k,Gurgaon,Promotions / Appraisal,Promotions / Appraisal
Bajaj Auto,Automobile,79,3.9,3.4,13.6k,Pune,Company Culture,Promotions / Appraisal
Oyo Rooms,Hospitality,12,3.3,3.4,22.1k,Gurgaon,Job Security,Job Security
KEC International,Engineering & Construction,79,4.1,3.4,11.9k,Mumbai,Job Security,Promotions / Appraisal
Marpu Foundation,,8,4.9,3.4,,Secunderabad,Company Culture,
Nagarjuna Construction Company,Engineering & Construction,26,4.2,3.4,10.7k,Secunderabad,Job Security,
Piramal Capital Housing Finance,NBFC,4,4.2,3.4,9.9k,Mumbai,Company Culture,
Reliance Communications,Telecom,22,4.0,3.4,11.4k,Mumbai,Skill Development / Learning,Promotions / Appraisal
ITC Infotech,IT Services & Consulting,24,3.9,3.4,28.9k,Bengaluru,Work Life Balance,Promotions / Appraisal
CARS24,Internet,9,3.6,3.3,13.9k,Gurgaon,Job Security,Job Security
Aditya Birla Fashion and Retail,Fashion & Textile,36,4.2,3.3,12.1k,Mumbai,Job Security,
Varun Beverages,Beverage,29,4.1,3.3,10.3k,Gurugram,Job Security,
Randstad,Recruitment,32,3.8,3.2,14.8k,Chennai,Promotions / Appraisal,Promotions / Appraisal
EY Global Delivery Services EY GDS,Accounting & Auditing,22,3.6,3.2,33.1k,Bengaluru,Job Security,Promotions / Appraisal
L T Finance,NBFC,30,4.0,3.2,11.4k,Mumbai,Salary & Benefits,
Tata Communications,Telecom,38,4.1,3.2,23.2k,Mumbai,Job Security,Promotions / Appraisal
Kogta Financial India Limited,NBFC,28,4.8,3.2,1.6k,Jaipur,Company Culture,
John Deere,Industrial Machinery,23,4.1,3.2,14.7k,Moline,Company Culture,
Intas Pharmaceuticals,,47,4.1,3.2,15.8k,Bengaluru,Job Security,
Royal Enfield,Automobile,123,4.2,3.2,13.4k,Bengaluru,Skill Development / Learning,
Deutsche Bank,Banking,154,3.9,3.2,32.2k,Bengaluru,Job Security,Promotions / Appraisal
LG Electronics,Consumer Electronics & Appliances,66,4.0,3.1,10.3k,Bengaluru,Job Security,
Thermax Limited,Industrial Machinery,58,4.2,3.1,12.2k,Bengaluru,Job Security,
Team Lease,Recruitment,8,3.9,3.1,15.1k,Bengaluru,Promotions / Appraisal,Promotions / Appraisal
Samvardhana Motherson Group,Auto Components,38,3.8,3.1,13.2k,Bengaluru,Job Security,Promotions / Appraisal
PolicyBazaar,Internet,16,3.6,3.1,14k,Bengaluru,Salary & Benefits,Work Life Balance
R1 RCM,Healthcare,17,3.9,3.1,18.2k,Bengaluru,Job Security,
Macleods Pharmaceuticals,,38,3.7,3.1,14.5k,Bengaluru,Job Security,Promotions / Appraisal
Havells,Electrical Equipment,41,4.0,3,13k,Bengaluru,Work Life Balance,
Access Healthcare,IT Services & Consulting,13,3.9,3,20.8k,Bengaluru,Job Security,Promotions / Appraisal
Future Group,Retail,11,4.3,3,10k,Bengaluru,Skill Development / Learning,
Hetero Drugs,,31,3.9,3,14k,Bengaluru,Job Security,Promotions / Appraisal
Godrej Boyce Manufacturing,Consumer Electronics & Appliances,127,3.9,3,15.4k,Bengaluru,Job Security,Promotions / Appraisal
Aakash Educational Services,Education & Training,36,3.5,3,12.2k,Bengaluru,Promotions / Appraisal,Promotions / Appraisal
Tata AIA Life Insurance,Insurance,23,4.0,3,12.6k,Bengaluru,Job Security,
Publicis Sapient,IT Services & Consulting,34,3.5,3,28.4k,Bengaluru,Promotions / Appraisal,Promotions / Appraisal
